playerId,name,team,position,games_played,I_F_goals,I_F_shotsOnGoal,I_F_xGoals,icetime,goals_per_game,shots_per_game,shooting_pct
8474586,Jordan Eberle,SEA,R,78,17.0,168.0,22.4,81642.0,0.21794871794871795,2.1538461538461537,0.10119047619047619
8479293,Brandon Tanev,SEA,L,66,7.0,73.0,10.57,57765.0,0.10606060606060606,1.106060606060606,0.0958904109589041
8478104,Sammy Blais,STL,L,53,1.0,33.0,3.32,30812.0,0.018867924528301886,0.6226415094339622,0.030303030303030304
8478445,Mathew Barzal,NYI,C,80,23.0,240.0,20.11,96636.0,0.2875,3.0,0.09583333333333334
8479675,Trevor Moore,LAK,L,82,31.0,244.0,28.41,88461.0,0.3780487804878049,2.975609756097561,0.12704918032786885
8478462,Nicolas Roy,VGK,C,70,13.0,112.0,17.44,64901.0,0.18571428571428572,1.6,0.11607142857142858
8476892,Colton Parayko,STL,D,82,10.0,154.0,6.33,117395.0,0.12195121951219512,1.8780487804878048,0.06493506493506493
8480074,Alexandre Texier,CBJ,C,78,12.0,109.0,10.93,71046.0,0.15384615384615385,1.3974358974358974,0.11009174311926606
8480835,Jack Drury,CAR,C,74,8.0,106.0,11.5,54519.0,0.10810810810810811,1.4324324324324325,0.07547169811320754
8479383,Boris Katchouk,OTT,L,59,7.0,70.0,6.42,40635.0,0.11864406779661017,1.1864406779661016,0.1
8480845,Rasmus Kupari,WPG,C,28,0.0,28.0,1.98,15357.0,0.0,1.0,0.0
8477839,Conor Sheary,TBL,L,57,4.0,50.0,4.96,37970.0,0.07017543859649122,0.8771929824561403,0.08
8477034,Jaycob Megna,CHI,D,44,0.0,28.0,0.94,46261.0,0.0,0.6363636363636364,0.0
8479998,Mikey Anderson,LAK,D,74,2.0,89.0,4.5,91603.0,0.02702702702702703,1.2027027027027026,0.02247191011235955
8477950,Tony DeAngelo,CAR,D,31,3.0,44.0,1.52,26671.0,0.0967741935483871,1.4193548387096775,0.06818181818181818
8477073,Kurtis MacDermid,NJD,L,45,2.0,16.0,1.49,13049.0,0.044444444444444446,0.35555555555555557,0.125
8476882,Teuvo Teravainen,CAR,L,76,25.0,142.0,17.22,74792.0,0.32894736842105265,1.868421052631579,0.176056338028169
8476884,Derrick Pouliot,DAL,D,5,0.0,5.0,0.11,3642.0,0.0,1.0,0.0
8475220,Marcus Foligno,MIN,L,55,10.0,56.0,8.83,47791.0,0.18181818181818182,1.018181818181818,0.17857142857142858
8482245,Artem Zub,OTT,D,69,5.0,85.0,5.23,87015.0,0.07246376811594203,1.2318840579710144,0.058823529411764705
8478407,Vince Dunn,SEA,D,59,11.0,120.0,6.65,81728.0,0.1864406779661017,2.0338983050847457,0.09166666666666666
8476393,Nick Cousins,FLA,C,69,7.0,111.0,10.53,50450.0,0.10144927536231885,1.608695652173913,0.06306306306306306
8478483,Mitch Marner,TOR,R,69,26.0,158.0,21.85,88085.0,0.37681159420289856,2.289855072463768,0.16455696202531644
8484144,Connor Bedard,CHI,C,68,22.0,206.0,21.33,80716.0,0.3235294117647059,3.0294117647058822,0.10679611650485436
8483490,Pavel Mintyukov,ANA,D,63,4.0,88.0,6.09,71233.0,0.06349206349206349,1.3968253968253967,0.045454545454545456
8479291,Kevin Rooney,CGY,C,33,3.0,27.0,2.79,22207.0,0.09090909090909091,0.8181818181818182,0.1111111111111111
8478451,Ethan Bear,WSH,D,24,1.0,24.0,1.61,21464.0,0.041666666666666664,1.0,0.041666666666666664
8480035,Henri Jokiharju,BUF,D,74,3.0,84.0,3.33,84271.0,0.04054054054054054,1.135135135135135,0.03571428571428571
8475744,Evgeny Kuznetsov,CAR,C,63,8.0,96.0,10.47,66347.0,0.12698412698412698,1.5238095238095237,0.08333333333333333
8479671,Mathieu Olivier,CBJ,R,54,5.0,55.0,6.54,36554.0,0.09259259259259259,1.0185185185185186,0.09090909090909091
8473994,Jamie Benn,DAL,L,82,21.0,164.0,24.25,74390.0,0.25609756097560976,2.0,0.12804878048780488
8480049,Dylan Samberg,WPG,D,78,1.0,77.0,2.35,73128.0,0.01282051282051282,0.9871794871794872,0.012987012987012988
8477380,Jonny Brodzinski,NYR,C,57,6.0,89.0,6.76,38056.0,0.10526315789473684,1.5614035087719298,0.06741573033707865
8477425,Miles Wood,COL,L,74,9.0,167.0,21.07,60758.0,0.12162162162162163,2.2567567567567566,0.05389221556886228
8475765,Vladimir Tarasenko,FLA,R,76,23.0,155.0,15.62,71760.0,0.3026315789473684,2.039473684210526,0.14838709677419354
8478874,Adam Gaudette,STL,C,2,0.0,0.0,0.06,1176.0,0.0,0.0,0.0
8481521,Ronnie Attard,PHI,D,12,0.0,14.0,1.08,11077.0,0.0,1.1666666666666667,0.0
8476479,Phillip Danault,LAK,C,78,17.0,159.0,19.08,84339.0,0.21794871794871795,2.0384615384615383,0.1069182389937107
8474151,Ryan McDonagh,NSH,D,74,3.0,91.0,3.37,96739.0,0.04054054054054054,1.2297297297297298,0.03296703296703297
8477402,Pavel Buchnevich,STL,L,80,27.0,207.0,27.91,95158.0,0.3375,2.5875,0.13043478260869565
8482259,Bobby McMann,TOR,C,56,15.0,118.0,10.89,38839.0,0.26785714285714285,2.107142857142857,0.1271186440677966
8480009,Eeli Tolvanen,SEA,R,81,16.0,153.0,16.55,76021.0,0.19753086419753085,1.8888888888888888,0.10457516339869281
8473533,Jordan Staal,CAR,C,80,10.0,123.0,15.22,73818.0,0.125,1.5375,0.08130081300813008
8476917,Adam Pelech,NYI,D,58,1.0,71.0,3.41,70580.0,0.017241379310344827,1.2241379310344827,0.014084507042253521
8482807,Ethan Del Mastro,CHI,D,2,0.0,0.0,0.0,2229.0,0.0,0.0,0.0
8478450,Parker Wotherspoon,BOS,D,41,0.0,32.0,0.84,43596.0,0.0,0.7804878048780488,0.0
8480039,Martin Necas,CAR,C,77,24.0,231.0,22.42,80186.0,0.3116883116883117,3.0,0.1038961038961039
8481577,Philip Tomasino,NSH,C,41,7.0,62.0,6.15,30932.0,0.17073170731707318,1.5121951219512195,0.11290322580645161
8478057,Dakota Joshua,VAN,C,63,18.0,84.0,14.12,54376.0,0.2857142857142857,1.3333333333333333,0.21428571428571427
8475794,Tyler Seguin,DAL,C,68,25.0,154.0,19.97,67512.0,0.36764705882352944,2.264705882352941,0.16233766233766234
8479400,Pierre-Luc Dubois,LAK,C,82,16.0,146.0,21.51,77250.0,0.1951219512195122,1.7804878048780488,0.1095890410958904
8481043,Cole Koepke,TBL,L,9,0.0,9.0,1.37,3619.0,0.0,1.0,0.0
